"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000227179,PGCP1,0,0,0,0,0,0,0,0,0
ENSG00000227188,MGAT3-AS1,0,0,0,0,0,0,0,0,0
ENSG00000227195,MIR663AHG,965.5385,1005.5195,768.9778,1161.3948,621.4572,817.4236,2089.8326,4377.3549,2419.5808
ENSG00000227199,ST7-AS1,10.5781,9.4498,6.2538,43.203,15.5831,14.748,8.6105,14.5894,14.2419
ENSG00000227213,SPATA13-AS1,0,0,0,0,0,0,0,0,0
ENSG00000227222,DHX16,274.5712,181.962,8.277,19.2532,351.5275,202.0658,16.1334,20.4358,12.7576
ENSG00000227231,IER3,1790.4234,1403.66,1287.3638,930.7997,1088.2999,1315.7852,2137.8079,1616.2948,2257.5292
ENSG00000227234,SPANXB1,0,0,0,0,0,0,0.9826,0,0
ENSG00000227244,LINC00845,0,0,0,0,0,0,0,0,0
ENSG00000227246,PSORS1C2,0,0,0,0,0,0,0,0,0
ENSG00000227258,SMIM2-AS1,12.9244,12.6727,17.0331,7.5365,14.4625,22.1574,22.9427,51.9211,28.9905
ENSG00000227268,KLLN,13.1734,14.1967,36.2135,0,14.172,24.4438,33.4438,60.127,26.0175
ENSG00000227274,LOC101928418,0,0,0,0,0,0,0,0,0
ENSG00000227277,RNF5,194.5686,173.7379,162.936,169.6868,199.8646,193.8894,134.3779,103.8874,144.0872
ENSG00000227290,LINC01364,0,0,0,0,0,0,0,0.9976,0
ENSG00000227306,LOC100505570,0,0,0,0,0,0,0,0,0
ENSG00000227314,MSH5,21.4348,8.145,17.4749,56.8535,41.5631,43.0528,36.6028,29.231,21.3174
ENSG00000227315,NEU1,0,0,19.9876,0,7.9744,0,35.0221,0,0
ENSG00000227317,DDAH2,226.0904,196.2503,165.7931,405.3066,194.879,101.0752,84.806,78.4971,135.0446
ENSG00000227322,RXRB,955.6142,865.71,920.1603,1103.5862,1023.377,1025.713,701.9105,607.1098,641.1987
ENSG00000227333,EHMT2,25.1455,33.6762,47.8802,37.0827,20.8867,34.6102,109.6488,96.7498,111.4255
ENSG00000227342,LINC00307,0,0,0,0,0,0,0,0,0
ENSG00000227345,PARG,594.9403,480.0851,361.338,333.9937,502.8278,569.7312,222.6448,164.0612,272.7644
ENSG00000227354,RBM26-AS1,22.3845,12.0475,19.6749,18.8627,23.0315,22.0463,16.0675,17.2212,30.0956
ENSG00000227356,LINC00866,3.9716,2.0497,0,2.923,0,1.0111,1.9606,0,0.9942
ENSG00000227357,HLA-DRB4,1.6486,0,0,0,0,0,0,0,0
ENSG00000227372,TP73-AS1,949.8516,754.504,591.2247,920.2324,992.2182,950.192,580.9752,494.2059,681.8041
ENSG00000227373,LOC102724601,21.6642,23.8802,12.3165,12.7459,11.0623,20.9216,27.5278,31.1734,26.2299
ENSG00000227375,DLG1-AS1,5.1549,10.1067,11.176,7.0084,4.1102,6.0842,12.2546,13.5186,11.1313
ENSG00000227392,HPN-AS1,2.2525,4.5144,6.8084,5.0851,6.7269,3.0482,15.2946,12.1882,12.6611
ENSG00000227402,SLC39A7,900.6561,781.6274,748.874,753.8504,769.291,815.2236,993.9864,950.6434,1064.8679
ENSG00000227403,LINC01806,43.9688,47.126,54.2246,28.9634,49.0069,87.0924,51.9549,42.9984,56.0136
ENSG00000227418,PCGEM1,3.9835,3.0346,3.2801,1.9936,5.2889,3.0121,2.9803,4.342,2.0058
ENSG00000227420,MRPS18B,194.958,171.5876,175.0088,298.0444,279.9883,311.5078,335.7612,340.1577,339.7464
ENSG00000227429,HCP5,0,1.6703,0,0,0,0,6.6844,13.3902,0
ENSG00000227431,CSE1L-AS1,3.9727,1.0325,6.0947,0.971,2.0191,3.0366,0,3.9733,3.9648
ENSG00000227439,TTTY17A,0,0,0,0,0,0,0,0,0
ENSG00000227446,OR12D2,0,0,0,0,0,0,0,0,0
ENSG00000227449,FGF7P6,20.5605,14.5284,14.3205,10.1872,15.0949,18.8626,6.1232,10.1147,12.5073
ENSG00000227456,LINC00310,5.0027,4.0182,10.9952,3.1251,2.0008,2.0894,14.0922,11.0156,7.0027
ENSG00000227458,TRIM40,0,0,0,0,0,0,0,0,0
ENSG00000227460,SYNGAP1,272.2046,244.8581,237.0358,255.3516,369.5574,277.2044,93.7052,6.0703,177.0134
ENSG00000227463,LOC101927575,1.0426,0,2.2073,2.02,1.036,2.2042,9.4673,8.7762,13.0409
ENSG00000227466,LOC101927139,0,0,0,0,0,0,0,0,0
ENSG00000227467,LINC01537,13.8213,15.6827,12.874,7.6447,5.0179,11.6384,23.9866,40.6002,26.9764
ENSG00000227471,AKR1B15,15.2552,10.2907,15.7033,21.5965,24.2308,22.8575,15.9877,17.0215,7.4052
ENSG00000227472,TRIM10,0.124,0,0.1463,0,0,0,0,0,0
ENSG00000227477,STK4-AS1,9.057,12.0799,8.5528,5.6403,10.8604,9.0071,6.6412,11.7967,5.2596
ENSG00000227480,CCDC148-AS1,0,0,0,0,0,0,0,0,0
ENSG00000227487,NCAM1-AS1,0,1.1344,0,0,0,0,0,0,0
ENSG00000227488,GAGE12B,0,0,0,0,0,0,0,0,0
ENSG00000227495,LOC102724009,8.9688,11.1891,4.0884,1.9753,20.1649,7.0523,0,6.9734,7.0016
