Gene	Group
KANK1	example2
PCBP4	example2
TTC21A	example2
TLR5	example2
SKIDA1	example2
CRIP1	example2
PDLIM1	example2
NUAK1	example2
ATP7B	example2
WDR34	example2
ARHGEF19	example2
HES2	example2
SLC29A3	example2
FRMD3	example2
CTSB	example2
ADAMTSL3	example2
KMO	example2
ZNF34	example2
SNAI2	example2
BAIAP2-AS1	example2
PLA2G6	example2
SCARB1	example2
TRIM29	example2
HYKK	example2
RNF128	example2
TMCC2	example2
FLRT3	example2
ZNF624	example2
LPAR6	example2
LINC01503	example2
MPND	example2
PBXIP1	example2
FANK1	example2
KRT5	example2
NAT6	example2
SORCS2	example2
REEP6	example2
IFT140	example2
GABRE	example2
TMEM134	example2
C6orf226	example2
ANKRD2	example2
ENKD1	example2
SNRPN	example2
DLC1	example2
ZBTB22	example2
RAB11B-AS1	example2
FBXO4	example2
ARHGAP5-AS1	example2
JAG1	example2
ARHGEF9	example2
PHLDB1	example2
FAM212A	example2
NGFR	example2
LPCAT3	example2
CFD	example2
METRN	example2
PLEKHO1	example2
CROCC	example2
PDCD4	example2
PITX2	example2
PAFAH1B3	example2
DMBX1	example2
DHRS3	example2
MAPK8IP1	example2
DLX6	example2
ORAI3	example2
DALRD3	example2
LRRC23	example2
LRP1	example2
KLF13	example2
GSN	example2
COL4A5	example2
PPAP2A	example2
C20orf96	example2
PTPRS	example2
DDAH2	example2
CRABP2	example2
EPHX2	example2
CERS4	example2
THSD1	example2
RNASE4	example2
LYPD6	example2
ERMAP	example2
PKIG	example2
OPLAH	example2
PDK2	example2
LHPP	example2
FILIP1L	example2
ABAT	example2
GPR161	example2
TRAM1	example2
MEGF6	example2
SLC7A1	example2
SRGAP3	example2
FOXD2	example2
SYBU	example2
HCAR3	example2
PECR	example2
SHISA5	example2
SLC27A5	example2
C15orf41	example2
PTPRU	example2
GAS2L2	example2
MOSPD3	example2
HOXA2	example2
P2RY1	example2
S1PR5	example2
GGT6	example2
TMEM133	example2
PCDHGB4	example2
FBXL2	example2
H1FX	example2
RMDN2	example2
HIST1H4C	example2
TRIM34	example2
CLIC3	example2
DPH6-AS1	example2
MBNL1-AS1	example2
NDN	example2
BAG1	example2
FGD3	example2
FAM101B	example2
P2RY2	example2
DBP	example2
DRAM1	example2
GALM	example2
SH3GL2	example2
TCP11L2	example2
RAB40B	example2
FAM127C	example2
FAM63A	example2
ROBO1	example2
NAT14	example2
RAPGEF5	example2
NAB2	example2
MMP28	example2
ACTR3C	example2
NAB1	example2
FAM168A	example2
TSC22D3	example2
ADIRF	example2
TMEM117	example2
NRM	example2
LOC440300	example2
ARHGAP33	example2
LINC01560	example2
C11orf80	example2
PNPLA3	example2
TMEM180	example2
HTRA1	example2
CXXC5	example2
ZNF287	example2
CD1D	example2
ANKRD50	example2
SEMA6B	example2
SLC25A35	example2
SMPDL3A	example2
EMB	example2
MFI2	example2
HLA-F	example2
SLC24A1	example2
SUOX	example2
CARF	example2
SH3BGRL	example2
IER2	example2
SYNGAP1	example2
RXRA	example2
NEK8	example2
ALKBH7	example2
TP63	example2
ATP2A3	example2
AGPAT4	example2
DNAL1	example2
NGFRAP1	example2
SYT12	example2
ATG10	example2
DUSP9	example2
DAAM1	example2
FAM213A	example2
CPT1C	example2
ECHDC2	example2
FAM195B	example2
NDST1	example2
CAV1	example2
ATP2B4	example2
LINC00894	example2
RBL2	example2
RASSF6	example2
CELSR2	example2
FRAS1	example2
DHRS1	example2
ASB9	example2
HDAC6	example2
MYH10	example2
GSDMD	example2
TMEM191A	example2
SPON2	example2
FAT2	example2
SEMA3F	example2
RRAGB	example2
ACY1	example2
PLXNB1	example2
IFT172	example2
FHOD3	example2
LIG1	example2
IFI27L1	example2
SDC3	example2
GGT7	example2
DUOX1	example2
TMEM191B	example2
GAMT	example2
IGSF9B	example2
SSH3	example2
TYMP	example2
GATA3	example2
MEIS1	example2
NUP62CL	example2
C22orf23	example2
LINC00963	example2
DDX26B	example2
CNTN1	example2
DKK1	example2
KLF10	example2
